Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
Desert Eagle,Ocean Drive,Covert,Operation Riptide Case,$158.19 USD,$46.13 USD,$21.04 USD,$14.45 USD,$12.90 USD,2021
Five-SeveN,Scrawl,Mil-Spec,Dreams & Nightmares Case,$0.27 USD,$0.10 USD,$0.06 USD,$0.06 USD,$0.07 USD,2021
MAC-10,Ensnared,Mil-Spec,Dreams & Nightmares Case,$0.27 USD,$0.10 USD,$0.06 USD,$0.06 USD,$0.06 USD,2021
MAG-7,Foresight,Mil-Spec,Dreams & Nightmares Case,,,,,,2021
MP5-SD,Necro Jr.,Mil-Spec,Dreams & Nightmares Case,,,,,,2021
P2000,Lifted Spirits,Mil-Spec,Dreams & Nightmares Case,,,,,,2021
SCAR-20,Poultrygeist,Mil-Spec,Dreams & Nightmares Case,,,,,,2021
Sawed-Off,Spirit Board,Mil-Spec,Dreams & Nightmares Case,$0.23 USD,$0.10 USD,$0.06 USD,$0.06 USD,$0.06 USD,2021
PP-Bizon,Space Cat,Restricted,Dreams & Nightmares Case,$1.16 USD,$0.58 USD,$0.22 USD,$0.24 USD,$0.23 USD,2021
G3SG1,Dream Glade,Restricted,Dreams & Nightmares Case,$1.22 USD,$0.50 USD,$0.22 USD,$0.22 USD,$0.22 USD,2021
M4A1-S,Night Terror,Restricted,Dreams & Nightmares Case,$1.76 USD,$0.72 USD,$0.46 USD,$1.36 USD,$1.92 USD,2021
XM1014,Zombie Offensive,Restricted,Dreams & Nightmares Case,$1.21 USD,$0.50 USD,$0.22 USD,$0.23 USD,$0.23 USD,2021
USP-S,Ticket to Hell,Restricted,Dreams & Nightmares Case,$1.80 USD,$0.74 USD,$0.30 USD,$0.49 USD,$0.23 USD,2021
Dual Berettas,Melondrama,Classified,Dreams & Nightmares Case,$8.16 USD,$3.12 USD,$1.36 USD,$1.21 USD,$1.19 USD,2021
FAMAS,Rapid Eye Movement,Classified,Dreams & Nightmares Case,$8.41 USD,$3.11 USD,$1.46 USD,$1.19 USD,$1.15 USD,2021
MP7,Abyssal Apparition,Classified,Dreams & Nightmares Case,$7.93 USD,$3.06 USD,$1.35 USD,$1.21 USD,$1.07 USD,2021
AK-47,Nightwish,Covert,Dreams & Nightmares Case,$84.35 USD,$27.77 USD,$11.48 USD,$8.41 USD,$6.53 USD,2021
MP9,Starlight Protector,Covert,Dreams & Nightmares Case,$22.56 USD,$8.85 USD,$3.72 USD,$4.36 USD,$2.77 USD,2021
Negev,Drop Me,Mil-Spec,Recoil Case,$0.24 USD,$0.11 USD,$0.07 USD,$0.06 USD,$0.06 USD,2022
Galil AR,Destroyer,Mil-Spec,Recoil Case,$0.23 USD,$0.12 USD,$0.07 USD,$0.07 USD,$0.06 USD,2022
UMP-45,Roadblock,Mil-Spec,Recoil Case,$0.27 USD,$0.12 USD,$0.07 USD,$0.06 USD,$0.06 USD,2022
MAC-10,Monkeyflage,Mil-Spec,Recoil Case,$0.24 USD,$0.11 USD,$0.07 USD,$0.06 USD,$0.06 USD,2022
FAMAS,Meow 36,Mil-Spec,Recoil Case,$0.34 USD,$0.12 USD,$0.07 USD,$0.06 USD,$0.06 USD,2022
Glock-18,Winterized,Mil-Spec,Recoil Case,$0.29 USD,$0.12 USD,$0.07 USD,$0.06 USD,$0.07 USD,2022
M4A4,Poly Mag,Mil-Spec,Recoil Case,$0.44 USD,$0.11 USD,$0.07 USD,$0.07 USD,$0.06 USD,2022
M249,Downtown,Restricted,Recoil Case,$1.65 USD,$0.94 USD,$0.52 USD,$0.45 USD,$0.39 USD,2022
P90,Vent Rush,Restricted,Recoil Case,,,,,,2022
Dual Berettas,Flora Carnivora,Restricted,Recoil Case,$2.31 USD,$0.94 USD,$0.53 USD,$0.40 USD,$0.39 USD,2022
SG 553,Dragon Tech,Restricted,Recoil Case,$1.78 USD,$1.00 USD,$0.52 USD,$0.47 USD,$0.39 USD,2022
R8 Revolver,Crazy 8,Restricted,Recoil Case,,,,,,2022
P250,Visions,Classified,Recoil Case,$9.98 USD,$5.23 USD,$3.20 USD,$3.10 USD,$2.89 USD,2022
Sawed-Off,Kiss♥Love,Classified,Recoil Case,,,,,,2022
AK-47,Ice Coaled,Classified,Recoil Case,,,,,,2022
AWP,Chromatic Aberration,Covert,Recoil Case,$24.06 USD,$15.57 USD,$7.74 USD,$9.61 USD,$5.59 USD,2022
USP-S,Printstream,Covert,Recoil Case,$498.70 USD,$274.65 USD,$176.96 USD,$146.71 USD,$118.54 USD,2022
MP9,Featherweight,Mil-Spec,Revolution Case,$0.36 USD,$0.11 USD,$0.07 USD,$0.06 USD,$0.06 USD,2023
MAG-7,Insomnia,Mil-Spec,Revolution Case,,,,,,2023
SCAR-20,Fragments,Mil-Spec,Revolution Case,$0.23 USD,$0.13 USD,$0.07 USD,$0.06 USD,$0.06 USD,2023
P250,Re.built,Mil-Spec,Revolution Case,$0.28 USD,$0.11 USD,$0.06 USD,$0.06 USD,$0.06 USD,2023
MP5-SD,Liquidation,Mil-Spec,Revolution Case,$0.37 USD,$0.11 USD,$0.08 USD,$0.06 USD,$0.06 USD,2023
SG 553,Cyberforce,Mil-Spec,Revolution Case,,,,,,2023
Tec-9,Rebel,Mil-Spec,Revolution Case,$0.29 USD,$0.11 USD,$0.07 USD,$0.06 USD,$0.06 USD,2023
M4A1-S,Emphorosaur-S,Restricted,Revolution Case,$43.30 USD,$1.58 USD,$0.69 USD,$7.94 USD,$0.55 USD,2023
Glock-18,Umbral Rabbit,Restricted,Revolution Case,$1.94 USD,$1.02 USD,$0.36 USD,$0.40 USD,$0.25 USD,2023
MAC-10,Sakkaku,Restricted,Revolution Case,,,$1.17 USD,$0.49 USD,$0.27 USD,2023
R8 Revolver,Banana Cannon,Restricted,Revolution Case,$11.69 USD,$4.49 USD,$2.42 USD,$2.40 USD,$2.05 USD,2023
P90,Neoqueen,Restricted,Revolution Case,$1.76 USD,$0.91 USD,$0.41 USD,$0.51 USD,$1.06 USD,2023
AWP,Duality,Classified,Revolution Case,,,,,,2023
UMP-45,Wild Child,Classified,Revolution Case,,,,,,2023
P2000,Wicked Sick,Classified,Revolution Case,$15.27 USD,$6.39 USD,$2.68 USD,$1.88 USD,$1.71 USD,2023
AK-47,Head Shot,Covert,Revolution Case,$90.22 USD,$36.15 USD,$18.99 USD,$11.19 USD,$8.75 USD,2023
M4A4,Temukau,Covert,Revolution Case,$168.46 USD,$73.70 USD,$22.28 USD,$19.69 USD,$9.90 USD,2023
